GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-security-ams,com.sap.cloud.security.samples,CertificateAttributesProcessor,0,59,1,9,0,16,1,7,0,3
spring-security-ams,com.sap.cloud.security.samples,SecurityConfiguration,0,63,0,0,0,13,0,2,0,2
spring-security-ams,com.sap.cloud.security.samples,Application,5,3,0,0,2,1,1,1,1,1
spring-security-ams,com.sap.cloud.security.samples,BasicController,33,89,2,6,5,18,3,8,1,6
spring-security-ams,com.sap.cloud.security.samples,SalesOrderController,0,31,0,0,0,4,0,4,0,4
